Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Spicy Crispy Chicken Jr.,390,21,3.5,0,30,740,37,2,6,12
Chicken Nuggets- 4pc,170,11,1.5,0,25,310,11,1,0,8
Chicken Nuggets- 6pc,260,16,2.5,0,35,470,16,1,0,12
Chicken Nuggets- 10pc,430,27,4.5,0,55,780,27,2,0,20
Chicken Nuggets- 20pc,860,54,9,0,115,1570,53,3,1,39
Spicy Chicken Nuggets- 4pc,210,15,3,0,20,570,11,2,0,8
Spicy Chicken Nuggets- 6pc,320,22,4.5,0,35,850,17,3,0,12
Spicy Chicken Nuggets- 10 pc,530,37,7,0,55,1420,28,4,1,20
Spicy Chicken Nuggets- 20 pc,1050,74,15,0,110,2840,56,9,1,40
Chicken Fries – 9 pc.,280,17,2.5,0,35,850,20,1,1,13
Crispy Taco,170,9,3,0,10,410,19,2,1,5
BIG FISH Sandwich,510,28,4.5,0,30,1180,51,2,7,16
Garden Chicken Salad with Crispy Chicken – no dressing,440,25,7,0,75,930,31,3,4,25
Club Salad with Crispy Chicken – no dressing,540,33,10,0,95,1380,31,3,5,31
Garden Side Salad – w/o dressing,60,4,2.5,0,10,95,3,1,2,4
Ken’s Ranch Dressing,260,28,4,0,10,240,2,0,2,1
Ken’s Golden Italian Dressing,160,17,2.5,0,0,380,4,0,3,0
Ken’s Lite Honey Balsamic Vinaigrette,120,8,1,0,0,220,14,0,11,0
Buttery Garlic Croutons- Packet,60,2.5,0,0,10,180,9,0,1,1
Onion Rings – value,150,8,1.5,0,0,400,19,1,2,1
Onion Rings – small,320,16,3,0,0,840,41,3,4,3
Onion Rings – medium,410,21,3.5,0,0,1080,53,4,5,4
Onion Rings – large,500,25,4.5,0,0,1310,64,5,7,5
French Fries – value (unsalted),220,9,1.5,0,0,210,34,3,1,2
French Fries – small,320,13,2,0,0,300,49,5,1,4
French Fries – medium,380,16,2,0,0,360,58,6,1,4
French Fries – large,430,18,2.5,0,0,410,66,7,2,5
Kids Oatmeal,170,3,1.5,0,5,260,32,3,12,4
Chicken Nuggets- 4pc,170,11,1.5,0,25,310,11,1,0,8
Chicken Nuggets- 6pc,260,16,2.5,0,35,470,16,1,0,12
Hamburger,240,10,3.5,0.5,35,380,26,1,6,13
Cheeseburger,280,13,6,0.5,45,560,27,1,7,15
Mott’s® Natural Applesauce,50,0,0,0,0,0,13,1,11,0
Fat FREE Milk (8 fl oz),90,0,0,0,5,125,13,0,12,9
1% Low Fat Chocolate Milk (8 fl oz),160,2.5,1.5,0,15,150,26,0,25,8
Capri Sun® 100% Apple Juice (6 fl oz),80,0,0,0,0,25,20,0,20,0
PB&J Jamwich,300,16,3,0,0,290,33,4,11,11
Soft Serve Cone,190,4.5,3,0,20,150,32,0,24,5
Dutch Apple Pie,340,14,6,0,0,310,51,1,25,3
HERSHEY®’S Sundae Pie,310,19,12,0,10,220,32,1,22,3
Pie made with TWIX®,370,20,13,0,10,330,45,1,30,4
OREO® Cookie Cheesecake,350,18,8,0,35,310,41,1,25,6
Soft Serve Cone,190,4.5,3,0,20,150,32,0,24,5
Soft Serve Cup,170,4.5,3,0,20,150,28,0,24,5
HERSHEY®’s Chocolate Sundae,260,5,3,0,20,160,49,1,43,5
Caramel Sundae,240,5,3.5,0,20,210,42,0,33,5
Chocolate Chip Cookies (each),160,8,4,0,10,125,24,1,15,2
CROISSAN’WICH® Egg & Cheese,340,18,8,0,160,610,29,1,4,12
"CROISSAN’WICH® Sausage, Egg & Cheese",500,33,13,0,195,930,30,1,4,19
"CROISSAN’WICH® Ham, Egg & Cheese",370,19,8,0,175,1030,30,1,5,17
"CROISSAN’WICH® Bacon, Egg & Cheese",370,21,9,0,170,760,30,1,4,14
Fully Loaded CROISSAN’WICH®,610,40,17,0.5,225,1680,31,1,5,28
Double CROISSAN’WICH® with Sausage & Bacon,580,40,16,0.5,215,1260,31,1,5,23
Double CROISSAN’WICH® with Sausage,710,52,20,0.5,240,1420,31,1,5,29
Double CROISSAN’WICH® with Ham & Sausage,580,38,16,0.5,220,1530,31,1,5,27
Fully Loaded Biscuit,640,45,20,0,225,2190,31,1,4,28
"Ham, Egg, & Cheese Biscuit",400,24,12,0,175,1550,29,1,3,17
"Sausage, Egg, & Cheese Biscuit",530,38,17,0,195,1440,29,1,3,19
"Bacon, Egg & Cheese Biscuit",400,26,13,0,170,1270,29,1,3,13
Sausage Biscuit,420,28,6,0,35,1050,28,1,2,12
Breakfast Burrito Jr.,370,23,8,0,150,930,27,3,2,15
EGG-NORMOUS BURRITOΡ,780,42,15,0,355,1960,68,3,4,32
BK™ Ultimate Breakfast Platter,930,44,11,0,390,2230,110,4,40,24
NY Ultimate Platter (Regional menu item),900,46,12,0,380,1760,95,5,31,25
Pancake and Sausage platter,610,31,9,0,80,1010,72,1,30,12
Hash Browns – small,250,16,3.5,0,0,580,24,3,0,2
Hash Browns – medium,500,33,7,0,0,1140,48,7,0,4
Hash Browns – large,670,44,9,0,0,1530,65,9,0,5
French Toast Sticks (3 piece),230,11,2,0,0,260,29,1,8,3
French Toast Sticks (5 piece),380,18,3,0,0,430,49,2,13,5
American Cheese (slice),40,3.5,2,0,10,180,1,0,0,2
Ketchup (Packet),10,0,0,0,0,125,3,0,2,0
Mayonnaise (Packet),80,9,0.5,0,10,75,1,0,0,0
Strawberry or Grape Jam (packet),30,0,0,0,0,0,7,0,6,0
Breakfast Syrup (1 oz),120,0,0,0,0,15,30,0,18,0
Barbecue Dipping Sauce (1 oz),40,0,0,0,0,310,11,0,10,0
Ranch Dipping Sauce (1 oz),140,15,2.5,0,10,85,1,0,1,1
Buffalo Dipping Sauce (1 oz),80,8,1.5,0,5,360,2,0,1,0
Zesty Onion Ring Dipping Sauce (1 oz),150,15,2.5,0,20,240,3,0,0,0
Honey Mustard Dipping Sauce (1oz),90,6,1,0,10,180,8,0,7,0
Fat FREE Milk (8 fl oz),90,0,0,0,5,125,13,0,12,9
1% Low Fat Chocolate Milk (8 fl oz),160,2.5,1.5,0,15,150,26,0,25,8
Smoothie: Strawberry Banana 16 fl oz,310,1,0,0,0,55,71,3,50,4
Oreo® Shake,720,20,12,0.5,65,540,118,1,98,16
Chocolate Oreo® Shake,740,22,13,0.5,70,680,121,1,101,17
Vanilla Milk Shake,580,15,10,0,60,420,98,0,85,14
HERSHEY®’S Chocolate Milk Shake,610,16,10,0,60,500,103,1,88,14
Strawberry Milk Shake,640,15,10,0,60,440,113,0,99,14
Coca Cola classic®‡, , , , , , , , , , 
16 fl oz,210,0,0,0,0,50,58,0,58,0
20 fl oz,270,0,0,0,0,60,73,0,73,0
29 fl oz,290,0,0,0,0,85,105,0,105,0
38 fl oz,510,0,0,0,0,115,138,0,138,0
Diet Coke®‡, , , , , , , , , , 
16 fl oz,0,0,0,0,0,70,0,0,0,0
20 fl oz,0,0,0,0,0,85,0,0,0,0
29 fl oz,0,0,0,0,0,120,0,0,0,0
38 fl oz,0,0,0,0,0,160,0,0,0,0
Sprite®‡, , , , , , , , , , 
16 fl oz,210,0,0,0,0,95,56,0,56,0
20 fl oz,260,0,0,0,0,120,70,0,70,0
29 fl oz,380,0,0,0,0,170,102,0,102,0
38 fl oz,500,0,0,0,0,230,133,0,133,0
Dr. Pepper®‡, , , , , , , , , , 
16 fl oz,190,0,0,0,0,60,52,0,51,0
20 fl oz,240,0,0,0,0,75,65,0,64,0
29 fl oz,350,0,0,0,0,105,94,0,93,0
38 fl oz,450,0,0,0,0,140,124,0,121,0
Barq’s® Root Beer‡, , , , , , , , , , 
16 fl oz,240,0,0,0,0,100,65,0,65,0
20 fl oz,300,0,0,0,0,120,81,0,81,0
29 fl oz,350,0,0,0,0,180,118,0,118,0
38 fl oz,450,0,0,0,0,230,155,0,155,0
Cherry Coke®‡, , , , , , , , , , 
16 fl oz,220,0,0,0,0,55,61,0,61,0
20 fl oz,280,0,0,0,0,70,76,0,76,0
29 fl oz,410,0,0,0,0,100,110,0,110,0
38 fl oz,450,0,0,0,0,130,145,0,145,0
Fanta® Orange‡, , , , , , , , , , 
16 fl oz,230,0,0,0,0,60,62,0,61,0
20 fl oz,280,0,0,0,0,70,78,0,77,0
29 fl oz,410,0,0,0,0,105,113,0,111,0
38 fl oz,530,0,0,0,0,135,148,0,146,0
Hi-C® Fruit Punch‡, , , , , , , , , , 
16 fl oz,220,0,0,0,0,75,62,0,60,0
20 fl oz,280,0,0,0,0,95,77,0,75,0
29 fl oz,410,0,0,0,0,135,111,0,109,0
38 fl oz,450,0,0,0,0,180,146,0,143,0
MINUTE MAID® Light Lemonade, , , , , , , , , , 
16 fl oz,10,0,0,0,0,60,3,0,0,0
20 fl oz,10,0,0,0,0,70,4,0,0,0
29 fl oz,15,0,0,0,0,105,5,0,0,0
38 fl oz,20,0,0,0,0,135,7,0,0,0
Sweet Tea, , , , , , , , , , 
20 fl oz,120,0,0,0,0,0,35,0,35,0
29 fl oz,160,0,0,0,0,0,49,0,49,0
40 fl oz,240,0,0,0,0,0,71,0,71,0
Unsweetened Tea, , , , , , , , , , 
20 fl oz,0,0,0,0,0,0,0,0,0,0
29 fl oz,0,0,0,0,0,0,0,0,0,0
40 fl oz,0,0,0,0,0,0,0,0,0,0
Capri Sun® 100% Apple Juice,80,0,0,0,0,25,20,0,20,0
Minute Maid® Orange Juice,140,0,0,0,0,20,33,0,30,2
Frozen Coke® – 16 oz,130,0,0,0,0,50,35,0,35,0
BK® Café Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Decaf Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Decaf Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Decaf Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0,0
BK® Café Iced Vanilla Coffee- 12 fl oz,150,8,4,0,25,30,21,0,21,1
BK® Café Iced Vanilla Coffee- 16 fl oz,200,10,5,0,30,40,27,0,27,2
BK® Café Iced Vanilla Coffee- 20 fl oz,260,13,7,0,40,50,34,0,34,2
BK® Café Iced Mocha Coffee- 12 fl oz,180,8,4,0,25,40,27,1,25,2
BK® Café Iced Mocha Coffee- 16 fl oz,240,10,6,0,30,55,35,1,32,2
BK® Café Iced Mocha Coffee- 20 fl oz,300,13,7,0,40,70,45,2,41,3
BK® Café Mocha Frappe- 12 fl oz,300,8,5,0,30,200,50,1,41,7
BK® Café Mocha Frappe- 16 fl oz,400,10,7,0,40,270,68,1,58,9
BK® Café Mocha Frappe- 20 fl oz,510,13,8,0,50,350,87,1,71,12
BK® Café Caramel Frappe- 12 fl oz,300,8,5,0,35,210,50,0,41,7
BK® Café Caramel Frappe- 16 fl oz,400,10,7,0,40,280,68,0,56,9
BK® Café Caramel Frappe- 20 fl oz,500,12,8,0,50,350,86,0,71,11
Baconator,950,62,24,3,205,1630,40,2,8,59
Dave’s Double,810,51,20,3,175,1280,41,3,8,49
Dave’s Single,570,34,13,1.5,100,1110,40,3,9,30
Dave’s Triple,1090,72,30,4,260,1650,43,3,9,71
Double Stack,390,21,9,1.5,90,740,26,1,6,25
Jr. Bacon Cheeseburger,380,22,8,1,65,680,25,1,5,19
Jr. Cheeseburger,280,13,6,1,50,660,26,1,6,16
Jr. Cheeseburger Deluxe,340,19,7,1,55,660,27,2,7,16
Son of Baconator,630,39,15,1.5,125,1280,37,2,7,34
3 Piece Chicken Tenders,330,16,2.5,0,75,1010,22,0,0,24
4 Piece Chicken Nuggets,170,11,2,0,35,340,10,0,0,9
4 Piece Chicken Tenders,430,21,3.5,0,100,1350,29,0,1,32
6 Picece Chicken Nuggets,250,16,3.5,0,50,510,14,1,0,13
6 Piece Chicken Tenders,650,32,5,0,150,2020,43,0,1,48
10 Piece Chicken Nuggets,420,27,5,0,80,850,24,1,0,22
Crispy Chicken BLT,420,23,6,0,50,950,35,2,5,20
Crispy Chicken Sandwich,330,16,3,0,30,600,33,2,4,14
Grilled Asiago Ranch Club,530,23,7,0,120,1220,36,3,6,43
Grilled Chicken Sandwich,370,10,2,0,90,830,38,3,8,34
Grilled Chicken Wrap,270,10,3.5,0,55,640,24,2,3,20
Homestyle Asiago Ranch Chicken Club,660,34,9,0,100,1650,52,3,7,38
Homestyle Chicken Sandwich,510,22,4,0,70,1150,51,3,6,28
S’Awesome Sauce,120,12,2,0,0,170,4,1,3,1
Spicy Asiago Ranch Club,670,32,9,0,100,1530,55,4,6,38
Spicy Chicken Sandwich,510,20,3.5,0,65,1030,54,4,6,29
Spicy Chicken Wrap,370,20,5,0,50,850,30,2,2,18
"Apple Pecan Chicken Salad, Full Size",560,24,7,0,115,1020,52,7,40,38
"Apple Pecan Chicken Salad, Half Size",340,17,4,0,55,550,29,4,22,20
"Berry Burst Chicken Salad, Full Size",460,17,4.5,0,105,1090,41,7,29,41
"Berry Burst Chicken Salad, Half Size",290,13,2.5,0,50,570,23,5,15,23
Caesar Side Salad,240,15,4,0,30,500,19,3,4,8
Garden Side Salad,250,18,4,0,20,460,18,2,4,7
"Southwest Avocado Chicken Salad, Full Size",600,41,11,0,135,1220,18,7,7,42
"Southwest Avocado Chicken Salad, Half Size",300,20,6,0,70,620,10,4,4,21
"Spicy Caesar Chicken Salad, Full Size",720,42,12,1,150,1680,44,8,6,42
"Spicy Caesar Chicken Salad, Half Size",410,23,6,0.5,75,930,30,5,4,23
"Taco Salad, Full Size",660,32,13,1,85,1820,63,10,18,32
"Taco Salad, Half Size",470,23,8,0.5,45,1320,49,7,12,19
Apple Bites,35,0,0,0,0,0,9,2,7,0
Baconator Fries,490,28,9,0,35,550,45,4,2,14
Bacon Cheese Baked Potato,440,14,6,0,35,550,64,7,4,17
Cheese Baked Potato,430,13,7,0,30,560,65,7,5,14
Chili & Cheese Baked Potato,460,11,5,0,35,710,71,8,7,19
"Chili, Large",250,7,3,0.5,50,1170,23,5,9,23
"Chili, Small",170,5,2,0,35,780,16,4,6,15
Chili Cheese Fries,500,25,8,0.5,35,710,53,6,4,16
"Natural-Cut Fries, Junior",230,10,2,0,0,15,30,3,0,3
"Natural-Cut Fries, Large",530,24,4.5,0,0,520,70,6,0,7
"Natural-Cut Fries, Medium",420,19,3.5,0,0,420,56,5,0,6
"Natural-Cut Fries, Small",320,15,2.5,0,0,320,43,4,0,5
Plain Baked Potato,270,0,0,0,0,25,61,7,3,7
Sour Cream and Chive Baked Potato,310,2.5,2.5,0,10,35,63,7,4,8
Summer Berry Burst Fruit Cup,20,0,0,0,0,0,5,1,3,0
1% Chocolate Milk,150,2.5,1.5,0,10,170,26,0,23,7
1% White Milk,90,2,1.5,0,10,105,10,0,10,7
"All-Natural Lemonade, Large",380,0,0,0,0,0,100,0,93,0
"All-Natural Lemonade, Medium",330,0,0,0,0,0,86,0,81,0
"All-Natural Lemonade, Small",190,0,0,0,0,0,50,0,47,0
"Apple Kiwi Fruit Tea, Large",330,0,0,0,0,60,83,0,80,0
"Apple Kiwi Fruit Tea, Medium",300,0,0,0,0,50,76,0,73,0
"Apple Kiwi Fruit Tea, Small",170,0,0,0,0,30,44,0,42,0
"Barq’s Root Beer, Large",450,0,0,0,0,180,122,0,122,0
"Barq’s Root Beer, Medium",360,0,0,0,0,150,98,0,98,0
"Barq’s Root Beer, Small",220,0,0,0,0,90,61,0,61,0
"Brewed Unsweetened Iced Tea, Large",5,0,0,0,0,25,2,0,0,0
"Brewed Unsweetened Iced Tea, Medium",0,0,0,0,0,15,1,0,0,0
"Brewed Unsweetened Iced Tea, Small",0,0,0,0,0,10,1,0,0,0
"Caramel Iced Coffee, Medium",240,8,5,0,25,45,40,0,36,3
"Caramel Iced Coffee, Small",160,6,3.5,0,20,30,26,0,24,2
"Coca-Cola, Large",400,0,0,0,0,90,109,0,109,0
"Coca-Cola, Medium",320,0,0,0,0,70,87,0,87,0
"Coca-Cola, Small",200,0,0,0,0,45,54,0,54,0
"Coca-Cola Zero Sugar, Large",0,0,0,0,0,100,1,0,0,0
"Coca-Cola Zero Sugar, Medium",0,0,0,0,0,80,1,0,0,0
"Coca-Cola Zero Sugar, Small",0,0,0,0,0,50,0,0,0,0
"Diet Coke, Large",0,0,0,0,0,125,1,0,0,0
"Diet Coke, Medium",0,0,0,0,0,100,1,0,0,0
"Diet Coke, Small",0,0,0,0,0,45,0,0,0,0
"Dr Pepper, Large",240,0,0,0,0,70,66,0,64,0
"Dr Pepper, Medium",190,0,0,0,0,55,53,0,51,0
"Dr Pepper, Small",120,0,0,0,0,35,33,0,32,0
"Fanta Orange, Large",430,0,0,0,0,110,117,0,115,0
"Fanta Orange, Medium",340,0,0,0,0,85,94,0,92,0
"Fanta Orange, Small",210,0,0,0,0,55,59,0,58,0
"Hi-C Flashin’ Fruit Punch, Large",420,0,0,0,0,140,115,0,113,0
"Hi-C Flashin’ Fruit Punch, Medium",340,0,0,0,0,115,92,0,90,0
"Hi-C Flashin’ Fruit Punch, Small",210,0,0,0,0,70,58,0,56,0
"Honest Tropical Green Tea, Large",110,0,0,0,0,55,29,0,29,0
"Honest Tropical Green Tea, Medium",90,0,0,0,0,40,22,0,22,0
"Honest Tropical Green Tea, Small",60,0,0,0,0,25,14,0,14,0
Hot Tea,0,0,0,0,0,0,1,0,0,0
"Limeade, Large",460,0,0,0,0,55,117,0,111,0
"Limeade, Medium",380,0,0,0,0,45,98,0,93,0
"Limeade, Small",230,0,0,0,0,30,59,0,56,0
"Minute Maid Light Lemonade, Large",15,0,0,0,0,10,2,0,0,0
"Minute Maid Light Lemonade, Medium",10,0,0,0,0,10,1,0,0,0
"Minute Maid Light Lemonade, Small",5,0,0,0,0,5,1,0,0,0
"Mocha Iced Coffee, Medium",210,8,5,0,25,40,32,0,28,3
"Mocha Iced Coffee, Small",170,6,3.5,0,20,30,28,0,25,2
"Pear Berry Fruit Tea, Large",320,0,0,0,0,60,82,0,76,0
"Pear Berry Fruit Tea, Medium",300,0,0,0,0,50,76,0,70,0
"Pear Berry Fruit Tea, Small",170,0,0,0,0,30,44,0,40,0
"Skinny Vanilla Iced Coffee, Medium",100,8,5,0,25,45,14,0,0,3
"Skinny Vanilla Iced Coffee, Small",70,5,3.5,0,15,30,6,0,0,2
"Small Sprite, Small",200,0,0,0,0,90,53,0,53,0
"Sprite, Large",390,0,0,0,0,180,105,0,105,0
"Sprite, Medium",310,0,0,0,0,140,84,0,84,0
"Strawberry Lemonade, Large",480,0,0,0,0,55,121,0,114,0
"Strawberry Lemonade, Medium",380,0,0,0,0,45,98,0,92,0
"Strawberry Lemonade, Small",230,0,0,0,0,30,58,0,54,0
"Strawberry Sweet Tea, Large",270,0,0,0,0,15,69,0,67,0
"Strawberry Sweet Tea, Medium",240,0,0,0,0,15,60,0,59,0
"Strawberry Sweet Tea, Small",140,0,0,0,0,10,36,0,35,0
"Strawberry Tea, Large",90,0,0,0,0,20,22,0,20,0
"Strawberry Tea, Medium",60,0,0,0,0,15,16,0,14,0
"Strawberry Tea, Small",45,0,0,0,0,10,11,0,10,0
"Sweetened Iced Tea, Large",300,0,0,0,0,25,77,0,75,0
"Sweetened Iced Tea, Medium",220,0,0,0,0,20,58,0,56,0
"Sweetened Iced Tea, Small",160,0,0,0,0,10,41,0,40,0
"Vanilla Iced Coffee, Medium",250,8,5,0,25,40,42,0,39,3
"Vanilla Iced Coffee, Small",170,6,3.5,0,20,30,28,0,26,2
"Classic Chocolate Frosty, Junior",200,5,3,0,20,90,33,0,27,6
"Classic Chocolate Frosty, Large",590,15,10,0.5,60,260,99,0,81,17
"Classic Chocolate Frosty, Medium",470,12,8,0.5,50,210,79,0,65,13
"Classic Chocolate Frosty, Small",350,9,6,0,35,150,58,0,47,10
"Vanilla Frosty, Junior",190,5,3.5,0,25,90,32,0,27,5
"Vanilla Frosty, Large",570,15,10,0.5,70,260,94,0,78,15
"Vanilla Frosty, Medium",450,12,8,0.5,55,210,75,0,63,12
"Vanilla Frosty, Small",340,9,6,0,45,160,56,0,47,9
Chocolate Chunk Cookie,310,16,8,0,20,210,40,2,24,3
Double Chocolate Chunk Cookie,290,14,7,0,20,230,39,4,21,4
Sugar Cookie,330,16,8,0,25,300,43,1,24,3
Kids 2 Piece Chicken Tenders,200,10,1.5,0,45,620,13,0,0,15
Kids 4 Piece Chicken Nuggets,170,11,2,0,35,340,10,0,0,9
Kids Cheeseburger,280,13,6,0.5,50,540,25,1,5,15
Kids Grilled Chicken Wrap,270,10,3.5,0,55,640,24,2,3,20
Kids Hamburger,240,9,3.5,0.5,40,350,24,1,5,13
Artisan Egg Sandwich with Bacon,320,17,8,0,245,750,25,1,4,18
Artisan Egg Sandwich with Sausage,480,33,13,0,275,980,27,1,4,21
Bacon Breakfast Bowl,510,28,9,0,245,1390,44,4,2,19
Biggie Breakfast Sandwich,610,40,15,0,290,1400,37,2,7,27
Fresh-Baked Biscuit with Applewood Smoked Bacon,410,24,13,0,235,970,34,1,5,15
Fresh Baked Biscuit with Natural Sausage,590,41,19,0,270,1270,36,1,6,20
Gravy and Sausage Bowl,450,22,6,0,220,1260,50,4,2,12
Honey Butter Chicken Biscuit,500,26,12,0,50,1120,48,1,9,19
Sausage and Egg Burrito,360,20,8,0,210,920,29,1,2,17
Sausage and Gravy Biscuit,490,29,14,0,20,1400,49,2,6,8
Sausage Biscuit,480,33,15,0,50,1010,35,1,5,12
Sausage Breakfast Bowl,640,42,14,0,270,1540,46,4,3,21
"Seasoned Home-Style Potatoes, Large",360,13,2.5,0,0,1080,57,6,1,5
"Seasoned Home-Style Potatoes, Medium",250,9,1.5,0,0,750,39,4,1,4
"Seasoned Home-Style Potatoes, Small",230,8,1.5,0,0,680,35,4,0,3
Two Sausage and Egg Burritos,720,41,16,0,420,1830,59,2,5,34
Two Sausage Biscuits,960,65,31,0,95,2020,70,3,10,23
Limited Time Cinnabon Dessert  Biscuits,290,13,7,0,<5,580,40,2,17,4
Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,390,21,4,0,120,1190,11,2,0,39
Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130,8,1.5,0,55,430,4,1,0,12
Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,4.5,0,100,910,8,1,0,19
Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130,8,2,0,55,380,3,0,0,10
Chicken Breast,770,60,10,0,105,1530,21,1,1,35
Chicken Drumstick,250,21,3.5,0,50,530,6,1,0,11
Chicken Thigh,500,40,7,0,100,970,11,1,1,22
Chicken Whole Wing,290,25,4,0,45,520,6,1,1,10
Breast,260,12,3,0,130,790,1,0,0,38
Drumstick,100,6,1.5,0,55,260,0,0,0,11
Thigh,180,12,3.5,0,90,470,0,0,0,17
Whole Wing,90,6,1.5,0,45,210,1,0,0,9
Breast,540,40,7,0,100,1390,14,2,1,31
Drumstick,190,14,2.5,0,40,510,6,1,0,9
Thigh,390,32,6,0,65,900,12,2,1,13
Whole Wing,180,15,2.5,0,35,450,5,1,0,8
EXTRA CRISPY  Chicken Breast,530,35,6,0,105,1150,18,0,0,35
EXTRA CRISPY  Chicken Drumstick,170,12,2,0,50,390,5,0,0,10
EXTRA CRISPY  Chicken Thigh,330,23,4.5,0,100,700,9,0,0,22
EXTRA CRISPY  Chicken Whole Wing,170,13,2,0,45,340,5,0,0,10
KENTUCKY GRILLED CHICKEN Breast,210,7,2,0,130,710,0,0,0,38
KENTUCKY GRILLED CHICKEN Drumstick,80,4,1,0,55,220,0,0,0,11
KENTUCKY GRILLED CHICKEN Thigh,150,9,3,0,90,420,0,0,0,17
KENTUCKY GRILLED CHICKEN Whole Wing,70,3,1,0,45,180,0,0,0,9
SPICY CRISPY CHICKEN Breast,350,20,3.5,0,100,1100,11,1,0,30
SPICY CRISPY CHICKEN Drumstick,130,8,1.5,0,40,420,5,1,0,9
SPICY CRISPY CHICKEN Thigh,270,20,3.5,0,65,720,10,1,0,13
SPICY CRISPY CHICKEN Whole Wing,120,8,1.5,0,35,350,5,0,0,7
EXTRA CRISPY  Tender (each),260,14,2,0,50,610,15,<1,0,19
EXTRA CRISPY  Tender (each),220,16,2.5,0,25,460,9,<1,0,10
KENTUCKY FRIED WINGS Buffalo,100,7,1.5,0,20,310,3,0,0,5
KENTUCKY FRIED WINGS Honey BBQ,100,6,1,0,20,210,8,0,4,5
KENTUCKY FRIED WINGS Nashville Hot,130,11,2,0,20,230,4,0,0,5
KENTUCKY FRIED WINGS Unsauced,80,6,1,0,20,150,3,0,0,5
POPCORN NUGGETS Kids,290,19,2.5,0,30,870,19,1,0,13
POPCORN NUGGETS Large,620,39,5,0,65,1820,39,2,0,27
BBQ Baked Beans,190,1,0,0,0,650,34,7,15,11
Biscuit,180,8,4.5,0,0,520,22,1,1,4
Coleslaw,170,12,2,0,<5,180,14,4,10,1
Corn on the Cob,70,0.5,0,0,0,0,17,2,3,2
Green Beans,25,0,0,0,0,300,5,3,1,1
KFC® Cornbread Muffin,210,9,1.5,0,35,240,28,<1,11,3
Macaroni & Cheese,140,6,1.5,0,<5,590,17,1,2,5
Macaroni Salad,140,8,1,0,15,290,14,0,9,1
Mashed Potatoes,110,3.5,0.5,0,0,330,17,1,0,2
Mashed Potatoes With Gravy,130,4.5,1,0,0,520,20,1,0,3
Potato Salad,340,28,4.5,0,25,290,19,2,3,2
Secret Recipe Fries,320,15,2,0,0,1100,41,3,0,5
Sweet Kernel Corn,70,0.5,0,0,0,0,16,2,2,2
BBQ Baked Beans (Family),830,5,1,0,0,2810,148,31,63,47
Coleslaw (Family),640,46,7,0,15,670,54,14,37,4
Corn on the Cob (Family),280,2,0,0,0,15,67,8,11,9
Green Beans (Family),80,0,0,0,0,930,15,9,3,4
Macaroni & Cheese (Family),540,23,6,0,10,2220,66,5,8,18
Macaroni Salad (Family),480,28,3.5,0,55,990,50,0,30,3
Mashed Potatoes (Family),460,15,3,0,0,1410,72,6,0,9
Mashed Potatoes With Gravy (Family),590,21,5,0,0,2590,88,6,1,12
Potato Salad (Family),1200,98,16,0,80,1010,65,8,12,8
Secret Recipe Fries (Family),840,40,5,0,0,2890,108,9,0,13
Sweet Kernel Corn (Family),280,2.5,0,0,0,10,67,7,8,10
Chicken Littles,300,15,2.5,0,30,620,27,1,3,14
Chicken Littles – Buffalo,310,17,2.5,0,30,790,27,1,3,14
Chicken Littles – Honey BBQ,320,15,2.5,0,30,680,31,1,7,14
Chicken Littles – Nashville Hot,340,19,3,0,30,680,27,1,3,14
Classic Chicken Sandwich,650,35,4.5,0,90,1260,49,1,6,34
Crispy Colonel’s Sandwich,470,24,3.5,0,60,1170,39,<1,4,24
Crispy Colonel’s Sandwich – Buffalo,500,27,4,0,60,1500,39,<1,4,24
Crispy Colonel’s Sandwich – Honey BBQ,510,25,3.5,0,60,1290,48,<1,12,24
Crispy Colonel’s Sandwich – Nashville Hot,540,32,4.5,0,60,1290,40,<1,5,24
Crispy Twister®,630,34,7,0,70,1260,53,4,3,28
Honey BBQ Sandwich,350,3.5,0.5,0,55,1350,55,2,22,24
Spicy Chicken Sandwich,620,33,4,0,85,2140,49,1,6,34
Chicken Pot Pie,720,41,25,0,80,1750,60,7,5,26
KFC® Famous Bowl,740,35,6,0,45,2350,81,6,2,26
KFC® Famous Bowl – Snack Size,270,14,3.5,0,20,850,27,2,1,11
Caesar Side Salad,40,2,1,0,5,90,2,1,1,3
House Side Salad,15,0,0,0,0,10,3,2,2,1
